U116455074000152123883555     82649000      V. SOARES SILVA & CIA LTDA-ME??????????
P216455074000152337           FIO 30 AZUL ROYAL MENEGOTTI                       KG    ATI0000000000004290
P216455074000152338           FIO 30 AZUL TURQUESA MENEGOTTI                    KG    ATI0000000000004290
P216455074000152339           FIO 30 BORDO MENEGOTTI                            KG    ATI0000000000004290
P216455074000152340           FIO 30 BRANCO MENEGOTTI                           KG    ATI0000000000003790
P216455074000152341           FIO 30 ROSA CHICLETE MENEGOTTI                    KG    ATI0000000000004290
P216455074000152342           FIO 30 CINZA CLARO MENEGOTTI                      KG    ATI0000000000004290
P216455074000152343           FIO 30 CINZA MESCLA CLARO MENEGOTTI               KG    ATI0000000000004290
P216455074000152344           FIO 30 CINZA MESCLA ESCURO MENEGOTTI              KG    ATI0000000000004290
P216455074000152345           FIO 30 LARANJA MENEGOTTI                          KG    ATI0000000000004290
P216455074000152346           FIO 30 PRETO MENEGOTTI                            KG    ATI0000000000004290
P216455074000152347           FIO 30 ROSA BB MENEGOTTI                          KG    ATI0000000000004290
P216455074000152348           FIO 30 ROSA PINK MENEGOTTI                        KG    ATI0000000000004290
P216455074000152349           FIO 30 ROXO MENEGOTTI                             KG    ATI0000000000004290
P216455074000152350           FIO 30 VERDE BANDEIRA MENEGOTTI                   KG    ATI0000000000004290
P216455074000152351           FIO 30 VERDE BB MENEGOTTI                         KG    ATI0000000000004290
P216455074000152352           FIO 30 VERDE JADE MENEGOTTI                       KG    ATI0000000000004290
P216455074000152353           FIO 30 VERDE LIMAO MENEGOTTI                      KG    ATI0000000000004290
P216455074000152354           FIO 30 VERMELHO MENEGOTTI                         KG    ATI0000000000004290
P216455074000152355           RIBANA FIO 30 AMARELO BB MENEGOTTI                KG    ATI0000000000005590
P216455074000152356           RIBANA AZUL MARINHO                               KG    ATI0000000000006090
P216455074000152357           RIBANA FIO 30 AMARELO CANARIO                     KG    ATI0000000000005590
P216455074000152358           RIBANA FIO 30 AZUL BB                             KG    ATI0000000000005590
P216455074000152360           RIBANA FIO 30 AZUL TURQUESA                       KG    ATI0000000000005590
P216455074000152361           RIBANA FIO 30 BORDO  MENEGOTTI                    KG    ATI0000000000005590
P216455074000152362           RIBANA FIO 30 BRANCO                              KG    ATI0000000000005590
P216455074000152363           RIBANA FIO 30 CHICLETE                            KG    ATI0000000000006090
P216455074000152364           RIBANA FIO 30 CINZA CLARO                         KG    ATI0000000000005590
P216455074000152365           RIBANA FIO 30 CINZA MESCLA CLARO                  KG    ATI0000000000005590
