U110385908000114037201956     1255800       TORRES FOMENTO MERCANTIL COMERCIAL E EMPRESARIAL??????????
P210385908000114380           WHISKY CHANCELER                                  L?????ATF0000000000000800
P210385908000114381           WHISKY JOHNNIE WALKER RED                         L?????ATF0000000000007200
P210385908000114382           WHISKY OLD EIGHT                                  CX????ATF0000000000002400
P210385908000114383           WHISKY PASS PORT                                  L?????ATF0000000000003500
P210385908000114384           WHISKY TEACHER'S                                  L?????ATF0000000000003100
P210385908000114385           WHISKY WALL STREET                                L?????ATF0000000000001700
P210385908000114880           SAND HAV COLOR AZUL NAVAL 37/38                   PC????ATT1800000000003750
P210385908000114386           EXCLUIDO                                          CX????ATI0000000000002700
P210385908000114387           EXCLUIDO                                          CX????ATI0000000000002700
P210385908000114388           EXCLUIDO                                          CX????ATI0000000000001900
P210385908000114389           EXCLUIDO                                          CX????ATI0000000000001900
P210385908000114390           SABONETE EVEN EVA DOCE                            PC????ATT1800000000000850
P210385908000114391           SABONETE EVEN  LAVANDA                            PC????ATT1800000000000850
P210385908000114392           SABONETE EVEN  MARACUJA                           PC????ATT1800000000000850
P210385908000114393           SABONETE EVEN  EXTRATO DE FLORES                  PC????ATT1800000000000850
P210385908000114394           SABONETE EVEN  LIMAO                              PC????ATT1800000000000850
P210385908000114395           SABONETE LUX SUAVE AMARELO                        PC????ATT1800000000000800
P210385908000114396           SABONETE LUX SUAVE AZUL                           PC????ATT1800000000000800
P210385908000114397           SABONETE LUX SUAVE LARANJA                        PC????ATT1800000000000800
P210385908000114398           SABONETE LUX SUAVE ROCHO                          PC????ATT1800000000000800
P210385908000114399           SABONETE LUX SUAVE ROSA                           PC????ATT1800000000000800
P210385908000114400           SABONETE LUX SUAVE VERDE                          PC????ATT1800000000000800
P210385908000114402           SABONETE EVEN MORANGO                             PC????ATT1800000000000850
P210385908000114404           SALG. CROKYS QUEIJO 30G                           UNI???ATF0000000000000400
P210385908000114405           SALG. CROKYS C/30 QUEIJO                          UNI???ATF0000000000000400
